Date,RegionName,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,NoActive,ActiveCases
20/02/27,"Calabria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Campania,","2,","0,","2,","1,","3,","3,","0,","0,","3,","0,",3
20/02/27,"Emilia Romagna,","36,","6,","42,","54,","96,","50,","0,","1,","97,","1,",49
20/02/27,"Friuli Venezia Giulia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Lazio,","0,","0,","0,","0,","0,","0,","3,","0,","3,","3,",-3
20/02/27,"Liguria,","9,","0,","9,","10,","19,","8,","0,","0,","19,","0,",8
20/02/27,"Lombardia,","172,","41,","213,","136,","349,","100,","40,","14,","403,","54,",46
20/02/27,"Marche,","2,","1,","3,","0,","3,","2,","0,","0,","3,","0,",2
20/02/27,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Piemonte,","2,","0,","2,","0,","2,","-1,","0,","0,","2,","0,",-1
20/02/27,"Puglia,","1,","0,","1,","0,","1,","1,","0,","0,","1,","0,",1
20/02/27,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Sicilia,","1,","0,","1,","1,","2,","-1,","2,","0,","4,","2,",-3
20/02/27,"Toscana,","2,","0,","2,","0,","2,","0,","0,","0,","2,","0,",0
20/02/27,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Umbria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/27,"Veneto,","19,","8,","27,","82,","109,","40,","0,","2,","111,","2,",38
20/02/28,"Abruzzo,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/02/28,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/02/28,"Calabria,","0,","0,","0,","1,","1,","1,","0,","0,","1,","0,",1
20/02/28,"Campania,","2,","0,","2,","2,","4,","1,","0,","0,","4,","0,",1
20/02/28,"Emilia Romagna,","56,","6,","62,","81,","143,","47,","0,","2,","145,","2,",45
20/02/28,"Friuli Venezia Giulia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Lazio,","0,","0,","0,","0,","0,","0,","3,","0,","3,","3,",-3
20/02/28,"Liguria,","9,","0,","9,","10,","19,","0,","0,","0,","19,","0,",0
20/02/28,"Lombardia,","235,","47,","282,","192,","474,","125,","40,","17,","531,","57,",68
20/02/28,"Marche,","3,","2,","5,","1,","6,","3,","0,","0,","6,","0,",3
20/02/28,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Piemonte,","7,","0,","7,","4,","11,","9,","0,","0,","11,","0,",9
20/02/28,"Puglia,","1,","0,","1,","2,","3,","2,","0,","0,","3,","0,",2
20/02/28,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Sicilia,","1,","0,","1,","1,","2,","0,","2,","0,","4,","2,",-2
20/02/28,"Toscana,","5,","0,","5,","2,","7,","5,","1,","0,","8,","1,",4
20/02/28,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Umbria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/28,"Veneto,","24,","9,","33,","116,","149,","40,","0,","2,","151,","2,",38
20/02/29,"Abruzzo,","2,","0,","2,","0,","2,","1,","0,","0,","2,","0,",1
20/02/29,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/02/29,"Calabria,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/02/29,"Campania,","3,","0,","3,","10,","13,","9,","0,","0,","13,","0,",9
20/02/29,"Emilia Romagna,","86,","11,","97,","116,","213,","70,","0,","4,","217,","4,",66
20/02/29,"Friuli Venezia Giulia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Lazio,","3,","0,","3,","0,","3,","3,","3,","0,","6,","3,",0
20/02/29,"Liguria,","4,","1,","5,","33,","38,","19,","4,","0,","42,","4,",15
20/02/29,"Lombardia,","256,","80,","336,","216,","552,","78,","40,","23,","615,","63,",15
20/02/29,"Marche,","6,","2,","8,","3,","11,","5,","0,","0,","11,","0,",5
20/02/29,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Piemonte,","7,","0,","7,","4,","11,","0,","0,","0,","11,","0,",0
20/02/29,"Puglia,","1,","0,","1,","2,","3,","0,","0,","0,","3,","0,",0
20/02/29,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Sicilia,","1,","0,","1,","1,","2,","0,","2,","0,","4,","2,",-2
20/02/29,"Toscana,","7,","0,","7,","3,","10,","3,","1,","0,","11,","1,",2
20/02/29,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Umbria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/29,"Veneto,","24,","11,","35,","154,","189,","40,","0,","2,","191,","2,",38
20/03/01,"Abruzzo,","3,","0,","3,","2,","5,","3,","0,","0,","5,","0,",3
20/03/01,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/01,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/03/01,"Calabria,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/01,"Campania,","4,","0,","4,","13,","17,","4,","0,","0,","17,","0,",4
20/03/01,"Emilia Romagna,","127,","13,","140,","137,","277,","64,","0,","8,","285,","8,",56
20/03/01,"Friuli Venezia Giulia,","0,","0,","0,","6,","6,","6,","0,","0,","6,","0,",6
20/03/01,"Lazio,","3,","0,","3,","0,","3,","0,","3,","0,","6,","3,",-3
20/03/01,"Liguria,","12,","1,","13,","8,","21,","-17,","4,","0,","25,","4,",-21
20/03/01,"Lombardia,","406,","106,","512,","375,","887,","335,","73,","24,","984,","97,",238
20/03/01,"Marche,","12,","5,","17,","8,","25,","14,","0,","0,","25,","0,",14
20/03/01,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/01,"Piemonte,","11,","2,","13,","36,","49,","38,","0,","0,","49,","0,",38
20/03/01,"Puglia,","1,","0,","1,","2,","3,","0,","0,","0,","3,","0,",0
20/03/01,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/01,"Sicilia,","1,","0,","1,","6,","7,","5,","2,","0,","9,","2,",3
20/03/01,"Toscana,","7,","0,","7,","5,","12,","2,","1,","0,","13,","1,",1
20/03/01,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/01,"Umbria,","0,","0,","0,","2,","2,","2,","0,","0,","2,","0,",2
20/03/01,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/01,"Veneto,","51,","13,","64,","197,","261,","72,","0,","2,","263,","2,",70
20/03/02,"Abruzzo,","3,","0,","3,","2,","5,","0,","0,","0,","5,","0,",0
20/03/02,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/02,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/03/02,"Calabria,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/02,"Campania,","4,","0,","4,","13,","17,","0,","0,","0,","17,","0,",0
20/03/02,"Emilia Romagna,","148,","16,","164,","160,","324,","47,","0,","11,","335,","11,",36
20/03/02,"Friuli Venezia Giulia,","0,","0,","0,","9,","9,","3,","0,","0,","9,","0,",3
20/03/02,"Lazio,","3,","0,","3,","1,","4,","1,","3,","0,","7,","3,",-2
20/03/02,"Liguria,","12,","1,","13,","5,","18,","-3,","4,","0,","22,","4,",-7
20/03/02,"Lombardia,","478,","127,","605,","472,","1077,","190,","139,","38,","1254,","177,",13
20/03/02,"Marche,","17,","6,","23,","11,","34,","9,","0,","1,","35,","1,",8
20/03/02,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/02,"Piemonte,","12,","2,","14,","37,","51,","2,","0,","0,","51,","0,",2
20/03/02,"Puglia,","2,","0,","2,","2,","4,","1,","0,","0,","4,","0,",1
20/03/02,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/02,"Sicilia,","2,","0,","2,","3,","5,","-2,","2,","0,","7,","2,",-4
20/03/02,"Toscana,","7,","0,","7,","5,","12,","0,","1,","0,","13,","1,",-1
20/03/02,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/02,"Umbria,","0,","0,","0,","2,","2,","0,","0,","0,","2,","0,",0
20/03/02,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/02,"Veneto,","53,","14,","67,","204,","271,","10,","0,","2,","273,","2,",8
20/03/03,"Abruzzo,","5,","0,","5,","1,","6,","1,","0,","0,","6,","0,",1
20/03/03,"Basilicata,","0,","0,","0,","1,","1,","1,","0,","0,","1,","0,",1
20/03/03,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/03/03,"Calabria,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/03,"Campania,","11,","0,","11,","19,","30,","13,","0,","0,","30,","0,",13
20/03/03,"Emilia Romagna,","187,","24,","211,","187,","398,","74,","4,","18,","420,","22,",52
20/03/03,"Friuli Venezia Giulia,","1,","0,","1,","12,","13,","4,","0,","0,","13,","0,",4
20/03/03,"Lazio,","10,","0,","10,","1,","11,","7,","3,","0,","14,","3,",4
20/03/03,"Liguria,","12,","2,","14,","5,","19,","1,","4,","1,","24,","5,",-4
20/03/03,"Lombardia,","698,","167,","865,","461,","1326,","249,","139,","55,","1520,","194,",55
20/03/03,"Marche,","27,","13,","40,","19,","59,","25,","0,","2,","61,","2,",23
20/03/03,"Molise,","3,","0,","3,","0,","3,","3,","0,","0,","3,","0,",3
20/03/03,"Piemonte,","13,","3,","16,","40,","56,","5,","0,","0,","56,","0,",5
20/03/03,"Puglia,","2,","0,","2,","4,","6,","2,","0,","0,","6,","0,",2
20/03/03,"Sardegna,","1,","0,","1,","0,","1,","1,","0,","0,","1,","0,",1
20/03/03,"Sicilia,","2,","0,","2,","3,","5,","0,","2,","0,","7,","2,",-2
20/03/03,"Toscana,","10,","0,","10,","8,","18,","6,","1,","0,","19,","1,",5
20/03/03,"P.A. Trento,","1,","0,","1,","3,","4,","4,","0,","0,","4,","0,",4
20/03/03,"Umbria,","1,","1,","2,","6,","8,","6,","0,","0,","8,","0,",6
20/03/03,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/03,"Veneto,","49,","19,","68,","229,","297,","26,","7,","3,","307,","10,",16
20/03/04,"Abruzzo,","7,","0,","7,","0,","7,","1,","0,","0,","7,","0,",1
20/03/04,"Basilicata,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/04,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/03/04,"Calabria,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/04,"Campania,","11,","0,","11,","20,","31,","1,","0,","0,","31,","0,",1
20/03/04,"Emilia Romagna,","256,","26,","282,","234,","516,","118,","6,","22,","544,","28,",90
20/03/04,"Friuli Venezia Giulia,","3,","0,","3,","15,","18,","5,","0,","0,","18,","0,",5
20/03/04,"Lazio,","15,","3,","18,","9,","27,","16,","3,","0,","30,","3,",13
20/03/04,"Liguria,","10,","3,","13,","8,","21,","2,","4,","1,","26,","5,",-3
20/03/04,"Lombardia,","877,","209,","1086,","411,","1497,","171,","250,","73,","1820,","323,",-152
20/03/04,"Marche,","34,","15,","49,","31,","80,","21,","0,","4,","84,","4,",17
20/03/04,"Molise,","3,","0,","3,","0,","3,","0,","0,","0,","3,","0,",0
20/03/04,"Piemonte,","26,","13,","39,","43,","82,","26,","0,","0,","82,","0,",26
20/03/04,"Puglia,","4,","0,","4,","3,","7,","1,","1,","1,","9,","2,",-1
20/03/04,"Sardegna,","1,","0,","1,","1,","2,","1,","0,","0,","2,","0,",1
20/03/04,"Sicilia,","5,","0,","5,","11,","16,","11,","2,","0,","18,","2,",9
20/03/04,"Toscana,","15,","2,","17,","20,","37,","19,","1,","0,","38,","1,",18
20/03/04,"P.A. Trento,","1,","0,","1,","4,","5,","1,","0,","0,","5,","0,",1
20/03/04,"Umbria,","1,","1,","2,","7,","9,","1,","0,","0,","9,","0,",1
20/03/04,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/03/04,"Veneto,","76,","23,","99,","246,","345,","48,","9,","6,","360,","15,",33
20/03/05,"Abruzzo,","8,","0,","8,","0,","8,","1,","0,","0,","8,","0,",1
20/03/05,"Basilicata,","0,","0,","0,","1,","1,","0,","0,","0,","1,","0,",0
20/03/05,"P.A. Bolzano,","1,","0,","1,","0,","1,","0,","0,","0,","1,","0,",0
20/03/05,"Calabria,","1,","0,","1,","1,","2,","1,","0,","0,","2,","0,",1
20/03/05,"Campania,","12,","0,","12,","33,","45,","14,","0,","0,","45,","0,",14
20/03/05,"Emilia Romagna,","327,","32,","359,","299,","658,","142,","10,","30,","698,","40,",102
20/03/05,"Friuli Venezia Giulia,","4,","0,","4,","17,","21,","3,","0,","0,","21,","0,",3
20/03/05,"Lazio,","20,","7,","27,","14,","41,","14,","3,","0,","44,","3,",11
20/03/05,"Liguria,","11,","3,","14,","7,","21,","0,","4,","3,","28,","7,",-7
20/03/05,"Lombardia,","1169,","244,","1413,","364,","1777,","280,","376,","98,","2251,","474,",-194
20/03/05,"Marche,","57,","19,","76,","44,","120,","40,","0,","4,","124,","4,",36
20/03/05,"Molise,","4,","0,","4,","3,","7,","4,","0,","0,","7,","0,",4
20/03/05,"Piemonte,","43,","17,","60,","46,","106,","24,","0,","2,","108,","2,",22
20/03/05,"Puglia,","5,","1,","6,","6,","12,","5,","1,","1,","14,","2,",3
20/03/05,"Sardegna,","2,","0,","2,","0,","2,","0,","0,","0,","2,","0,",0
20/03/05,"Sicilia,","5,","0,","5,","11,","16,","0,","2,","0,","18,","2,",-2
20/03/05,"Toscana,","26,","3,","29,","31,","60,","23,","1,","0,","61,","1,",22
20/03/05,"P.A. Trento,","2,","0,","2,","5,","7,","2,","0,","0,","7,","0,",2
20/03/05,"Umbria,","1,","1,","2,","7,","9,","0,","0,","0,","9,","0,",0
20/03/05,"Valle d'Aosta,","0,","0,","0,","2,","2,","2,","0,","0,","2,","0,",2
